id,ekegusii,kiswahili,english,source,source_url,source_type,audit_flag
2970,"435 camels and 6,720 donkeys.",,"ne chingamia amagana ane, na emerongo etato, na isano (435), ne chitigere chilifu isano nemo, na amagana atano na abere, na emerongo ebere (6,720).",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.20
3976,"emechie yonsi y’ense eimokererete igoro ere enteremu, na oboruoti bwonsi bwa Sihoni, omoruoti bw’Abaamori, oyio konya ogambeire Hesiboni. Musa konya omobuire ere amo nabanene bonsi b’Abamidiani: Evi, na Rekemu, na Suri, na Huri, na Reba. Abwo bonsi barenge kogamba inse ya Sihoni bamenyete ase ense eria.",,#NAME?,KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_50.67
11258,"Akanachana chinyama chi’emingichi eyio chikaba ebitari, agasibia chinyama chi’enda na ebirenge namache. Erio agasamba omotwe, na ebitari biria, na ebitinya, ne chinyama chionsi chi’emingichi eyio ase egesasimero. Emingichi eyio ekaba ekeng’wanso kegosambwa nomorero, kere ne rimisu rigiya rikomogwenera Omonene. Naboigo Omonene achigete Musa.",,"He cut the ram into pieces and burned the head, the pieces and the fat.",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_4.82
17810,"nigo barenge abanto chilifu isano na isato, na amagana atano, na emerongo etano na etato (8,580).",,"numbered 8,580.",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_6.47
17910,of Adin 454,,"aba orw’Adini: amagana ane, na emerongo etano, na bane (454);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.18
17911,of Adin 655,,"aba orw’Adini: amagana atano na rimo, na emerongo etano, na batano (655);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.15
17912,of Adonikam 666,,"aba orw’Adonikamu: amagana atano na rimo, na emerongo etano nomo, na batano nomo (666);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.17
17913,of Adonikam 667,,"aba orw’Adonikamu: amagana atano na rimo, na emerongo etano nomo, na batano na babere (667);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.16
17920,"abanto b’Anatoti: rigana erimo, na emerongo ebere, na batano na batato (128);",,of Anathoth 128,KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_5.13
17921,of Arah 652,,"aba orwa Ara, amagana atano na rimo, na emerongo etano, na babere (652);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.15
17922,of Arah 775,,"aba orwa Ara: amagana atano na abere, na emerongo etano na ebere, na batano (775);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.13
17924,"of Azgad 1,222",,"aba orwa Asigadi: elifu eyemo, na amagana abere, na emerongo ebere, na babere (1,222);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.16
17925,"of Azgad 2,322",,"aba orw’Asigadi: chilifu ibere, na amagana atato, na emerongo ebere, na babere (2,322);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.16
17927,of Bani 642,,"aba orwa Bani: amagana atano na rimo, na emerongo ene, na babere (642);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.15
17928,of Bebai 623,,"aba orwa Bebai: amagana atano na rimo, na emerongo ebere, na batato (623);",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research,length_ratio_mismatch_0.16
